"r","gs_nonparam","gs_param","cc_nonparam","cc_param","ipw_nonparam_Yonly","ipw_param_Yonly","ipw_nonparam_Zonly","ipw_param_Zonly","ipw_nonparam_YZ_main","ipw_param_YZ_main","ipw_nonparam_YZ","ipw_param_YZ"
40,0.523026566393312,0.519109334887894,0.548059418154566,0.541678495957831,0.532754668135544,0.522547283573828,0.51494719262184,0.541678495957824,0.531684790476063,0.524111527003227,0.514705235453075,0.508540037689516
41,0.505487820759125,0.513950868803478,0.527611507849766,0.532885992555252,0.509612314544544,0.516786608550316,0.494312489840221,0.532885992555242,0.510355402706046,0.515769212693605,0.509105886569935,0.514593424376863
42,0.489582929251971,0.486444391131627,0.51956262046229,0.516738326524786,0.498038067609483,0.496224032782068,0.482290239357234,0.51673832652479,0.498411309996392,0.495566789267894,0.497386096317217,0.494506132935559
43,0.516622714337313,0.515599352004886,0.55491497357577,0.559731499224527,0.529263784983749,0.541633422572832,0.509190466421432,0.559731499224525,0.533214896652154,0.536398725647255,0.511728361441583,0.51830329639679
44,0.524196605544374,0.531094449570316,0.522905764238743,0.531381606030581,0.50872724904074,0.52083660197574,0.501641879571277,0.531381606030588,0.50994038855815,0.518726582835814,0.512538269362258,0.521261185662688
45,0.501566193486931,0.504659617977863,0.506424372733411,0.509653249602798,0.489795125279564,0.490288342828109,0.473879189850092,0.509653249602802,0.488308362102206,0.49266460311278,0.496633494413031,0.500741145500316
46,0.506446682461345,0.502793600736994,0.536640754346342,0.536468953466003,0.512076586581796,0.517452140695734,0.495891005685015,0.536468953466007,0.514680979305796,0.513254397869297,0.507854319173956,0.506570600643854
47,0.490137153563789,0.495160826292614,0.513866204180224,0.517788391692973,0.479716299258216,0.486689275945427,0.452808324455802,0.517788391692969,0.481727870769993,0.4829638451085,0.494114153615397,0.496442893397045
48,0.460164309927897,0.466035882372254,0.471965213173773,0.482313282644187,0.454717084833927,0.463487968909542,0.440707167462135,0.482313282644179,0.454070650736602,0.464579032192621,0.457736505456747,0.468521754072493
49,0.509116420060441,0.49734801721979,0.544693214772891,0.529415942594913,0.524206967883623,0.492907476171453,0.493517426244539,0.529415942594925,0.519904453082546,0.500638752846407,0.51382847321927,0.494599733613682
50,0.534535343583138,0.539268692085513,0.555030383118242,0.563991926850224,0.543933891891553,0.552454177729378,0.53308959080421,0.563991926850215,0.543488675666267,0.553020898719958,0.544883072885093,0.554208667983478
