"r","gs_nonparam","gs_param","cc_nonparam","cc_param","ipw_nonparam_Yonly","ipw_param_Yonly","ipw_nonparam_Zonly","ipw_param_Zonly","ipw_nonparam_YZ","ipw_param_YZ"
15,0.489920129157874,0.482120609212209,0.542093928211356,0.533608008534811,0.51708221070589,0.513839350864533,0.498337895738969,0.533608008534819,0.505210335818622,0.494602957999272
16,0.475779981694567,0.472991159176239,0.497398953260438,0.494497874171762,0.469887442075016,0.470054150292067,0.448986525927603,0.494497874171766,0.471622820917532,0.47002659575258
17,0.508710286909522,0.493991632697095,0.50567886603746,0.491423179818445,0.490487774963696,0.478548547190129,0.481038733991824,0.491423179818441,0.507477591171454,0.49321451859441
18,0.500029385046063,0.491165202450643,0.537475856609942,0.527000399919697,0.528809804826149,0.508033551035725,0.509763084192952,0.527000399919695,0.515684070684568,0.505792424242614
19,0.483612390269517,0.480025371441161,0.508011096231929,0.515955047810868,0.477794008549607,0.488273624266539,0.450527262708135,0.515955047810865,0.471416978622832,0.478528539988786
20,0.509810010908273,0.519600690052577,0.586635194390347,0.591226088014897,0.545896598031431,0.566069183470726,0.518778204587961,0.591226088014888,0.543774875382191,0.547612472147787
21,0.50688093882456,0.506170500917234,0.519477910599783,0.517789318618598,0.494264655843919,0.494452926445141,0.472012189606484,0.517789318618603,0.510741097842459,0.511015287885368
22,0.483395446981032,0.496114746598856,0.499885816837797,0.50788024686872,0.482354719492211,0.48973886546765,0.467189488873102,0.507880246868718,0.488043321484784,0.496755749170806
23,0.499252776915686,0.491362798274362,0.537866253857969,0.525570845057897,0.499886646377355,0.510091349090481,0.486079302366955,0.525570845057893,0.518170582236169,0.505385278694565
24,0.513852818615788,0.510011563508274,0.564491131365707,0.555635921918179,0.542210530109622,0.536292197579266,0.525780653076884,0.555635921918182,0.541934857849209,0.530557159644423
25,0.491401698538442,0.49556076054363,0.506802467609897,0.514073354495411,0.47954987980044,0.489074889396257,0.458486222602071,0.514073354495409,0.476894211280005,0.484727868769578
26,0.551936611945143,0.546958914255029,0.588722514531457,0.584734854070237,0.566464364381857,0.56041686486302,0.537485402964003,0.584734854070233,0.573143909966579,0.568177269850404
27,0.485890438272961,0.483695824604961,0.519344070343102,0.520187946623393,0.503489120214632,0.491537203613155,0.480447761023606,0.520187946623379,0.488841379885638,0.488199135300639
28,0.478633198227857,0.472362626999436,0.482450693511379,0.48186396988755,0.47268746262883,0.459160962542817,0.454232127378869,0.481863969887536,0.46753106495056,0.466300206492948
29,0.503261669821032,0.508349364047659,0.503049423731422,0.518696171002401,0.492604700757598,0.499785383870352,0.474936866187107,0.518696171002399,0.48543046360441,0.501661803483277
30,0.489838210865104,0.502554712721342,0.516876335161738,0.523530999575115,0.478002168838621,0.49465705002556,0.452471719923409,0.523530999575114,0.503607173617048,0.508929661662049
31,0.508209863209426,0.501518220502244,0.541786419037581,0.535419771999913,0.512291124865147,0.507676481990363,0.485771340689955,0.535419771999911,0.515224344747028,0.507853713429887
