"r","gs_nonparam_delta","gs_nonparam_delta.s","gs_nonparam_R.s","gs_param_delta","gs_param_delta.s","gs_param_R.s","cc_nonparam_delta","cc_nonparam_delta.s","cc_nonparam_R.s","cc_param_delta","cc_param_delta.s","cc_param_R.s","ipw_nonparam_delta","ipw_nonparam_delta.s","ipw_nonparam_R.s","ipw_param_delta","ipw_param_delta.s","ipw_param_R.s","smle_param_delta","smle_param_delta.s","smle_param_R.s","mle_param_delta","mle_param_delta.s","mle_param_R.s"
21,12.0091445269878,5.97625955230024,0.50235759600778,12.0091445269878,5.95578049048182,0.504062884987556,12.0022856135453,6.36717981295907,0.469502724899886,12.0022856135453,6.28681824185911,0.476198247210176,13.7193853788434,6.34242366820719,0.537703512725299,NA,NA,NA,12.0091445269878,6.3154969810348,0.474109336694035,11.9695189909758,6.14048245419542,0.486990040383001
22,12.0884892006634,5.79450348208261,0.520659415258889,12.0884892006634,5.86269054089624,0.515018755149776,11.935381457378,5.70409523207366,0.522085217599175,11.935381457378,5.74288708975315,0.5188350610945,13.291907910922,5.81140248854759,0.562786431602318,NA,NA,NA,12.1087211011718,5.82421446760974,0.519006638360337,12.0884892006636,5.63424064664438,0.533916889603122
23,11.3076247865149,5.97339523104088,0.471737403405484,11.3076247865149,6.01294286581966,0.468239972643018,11.3569415894258,5.98442505605779,0.473060153657059,11.3569415894258,6.05358098585055,0.466970844378833,12.3984781511253,6.11951556548375,0.506430104494046,NA,NA,NA,11.259303695332,6.08808716917676,0.459283865688708,11.2948652914045,5.95525120741921,0.472747035597562
24,11.6828938475796,5.85755973589104,0.498620820122871,11.6828938475796,5.79603292456561,0.503887221763435,11.5238405787357,5.83697787307882,0.493486756155804,11.5238405787357,5.73329249587752,0.502484223319019,13.1765412751526,5.86625101200937,0.554795838337977,NA,NA,NA,11.6828938475797,5.69145656705818,0.512838459262619,11.611521188803,5.61869757673074,0.516110121544727
25,12.5747388001095,6.08648649445429,0.51597511557049,12.5747388001095,6.02337177650785,0.520994282882807,12.2868224057628,6.06608351613753,0.506293546385727,12.2868224057628,5.96336550647046,0.514653560576125,13.7308528634122,6.06723364925561,0.558131333165574,NA,NA,NA,12.5747388001095,5.89494345473203,0.531207482840065,12.615597857022,5.80457398419586,0.539889107913744
26,11.8264452450956,5.93341765103479,0.498292383884719,11.8264452450956,6.02151894000347,0.490842868232058,12.0866456704238,5.94895713059899,0.507807435345261,12.0866456704238,5.97943217553887,0.505286053832899,14.1369358502857,6.07045207275022,0.57059633452128,NA,NA,NA,11.8264452450955,5.84910333483549,0.505421687276558,11.8264452450959,5.76625452841346,0.512427072640061
27,11.924451925203,6.03889032592184,0.493570827086961,11.924451925203,5.97361137740411,0.499045204352029,11.9314148573732,5.79159187030866,0.514593035315534,11.9314148573732,5.76542713136526,0.51678596375329,13.4569052413027,5.85914581205305,0.564599311135088,NA,NA,NA,11.9244519252028,5.75991488708968,0.516966069114182,11.8866961613817,5.60148662972845,0.528760005835184
28,12.6123808084233,5.98214252014924,0.525692840153224,12.6123808084233,5.93090713071897,0.529755149261117,13.4151033460044,6.33961603903068,0.527426969772925,13.4151033460044,6.28213995543398,0.53171140069487,15.4471852552597,6.37851692890978,0.587075779599528,NA,NA,NA,12.6347761263379,6.23349346091156,0.506639975367865,12.5948953751051,6.09625465625769,0.515974172496308
29,10.9275959849907,5.69106288305787,0.479202663525019,10.9275959849907,5.826298524617,0.466827055775165,10.3796451566392,5.52348563716934,0.467854097725457,10.3796451566392,5.70534610927214,0.450333222073319,11.6873841932834,5.71925370764441,0.510647240386674,NA,NA,NA,10.9275959849907,5.6751399885568,0.480659790465191,10.9275959849907,5.60893474799391,0.486718327096107
30,12.405947955768,6.00700241651445,0.515796580968118,12.405947955768,6.0660896740753,0.511033764150611,11.8663336431474,5.91383601346194,0.501629046400776,11.8663336431474,5.94027400345466,0.499401063370147,13.6268943467316,5.99744545995026,0.559881708381429,NA,NA,NA,12.4059479557681,5.90040975230017,0.524388642178947,12.4059479557684,5.8310061454824,0.529983023766343
31,12.0329583697524,5.84721204538245,0.514066959619776,12.0329583697524,5.79508699300702,0.518398816406256,12.36834401532,5.88093381797912,0.524517282936606,12.36834401532,5.88989070034867,0.523793104957852,13.8319624238109,5.92438790414204,0.571688548405571,NA,NA,NA,12.0102456725637,5.89430834218262,0.509226663393935,12.0102456725638,5.6710470961626,0.527815895630051
32,12.0551939493599,6.28995881356216,0.478236614028419,12.0551939493599,6.36046599471298,0.472387916658058,12.6552639521277,6.43832076261264,0.491253537897944,12.6552639521277,6.53685965587342,0.483467142163052,14.0969559266651,6.57324841513444,0.533711501310662,NA,NA,NA,12.0551939493599,6.54099035176562,0.457413096857479,12.0094848612771,6.37752737849307,0.468959122546836
33,12.2526344424636,5.97432463637892,0.512404890194563,12.2526344424636,5.95274453647303,0.514166152232309,12.09546978573,5.7295598338288,0.526305308075886,12.09546978573,5.73110030459044,0.526177948759636,13.6472765349452,5.80941027743584,0.574317244722032,NA,NA,NA,12.2526344424632,5.71039627357401,0.533945430234673,12.2491167279306,5.58794256475544,0.543808530127422
34,12.7308571985741,6.0450329028426,0.525166859658148,12.7308571985741,6.16790478555896,0.515515358521986,11.9851455648374,5.95791455598292,0.502891765164492,11.9851455648374,6.15197221229782,0.486700250821584,13.5521886204865,6.18171637648725,0.543858446071028,NA,NA,NA,12.7308571985741,6.08444781723065,0.5220708454799,12.7308571985741,6.04621769975612,0.525073794682632
35,11.2879846999982,5.82876642688987,0.48363090650798,11.2879846999982,5.82758981003775,0.483735142727588,10.7859196415311,6.03033266607245,0.440906954020622,10.7859196415311,5.97030566716374,0.44647226517662,12.2340087288183,6.02499910977391,0.507520450301668,NA,NA,NA,11.2879846999982,5.90238916486431,0.477108684877536,11.2481119254956,5.8917520124393,0.476200801390966
36,12.8227743470671,6.27492993583535,0.510641787339058,12.8227743470671,6.29481653649907,0.509090906061304,12.4140245031513,6.27363696810792,0.494633108987711,12.4140245031513,6.38662006196913,0.485531862745405,14.0404911782558,6.39388688664659,0.544610882520359,NA,NA,NA,12.7994213611902,6.33242775627205,0.505256716098672,12.86950933801,6.26551029910562,0.513150802058902
37,12.3977476855483,5.93297052202272,0.521447711914754,12.3977476855483,5.96998463962311,0.518462160140416,12.6745003460922,5.72823826533852,0.548050170900453,12.6745003460922,5.80153119856954,0.542267463004309,14.411812100073,5.91516692189068,0.589561195995561,NA,NA,NA,12.3977476855484,5.75476065592671,0.535822086245969,12.3607869262946,5.61437745260792,0.545791260209762
38,12.3267121541751,6.15774528821095,0.500455173188635,12.3267121541751,6.17373059249503,0.499158371244682,11.9846937756248,6.14757898422816,0.487047470772139,11.9846937756248,6.18310466301529,0.484083216578229,13.5606473353046,6.26612563488339,0.537918398735305,NA,NA,NA,12.348690219321,6.10474089690481,0.50563656643089,12.3486902193212,6.01056168459485,0.513263222427385
39,12.4531523948507,5.60879290513988,0.549608586861983,12.4531523948507,5.75725305676483,0.537687095265499,12.3969861641339,5.8005587007712,0.532099284134643,12.3969861641339,5.92529716579916,0.522037284921573,13.7967286198784,5.97646170438496,0.566820376841068,NA,NA,NA,12.4531523948507,6.04677446703975,0.514438250226499,12.4531523948506,5.80935957062128,0.533502892566908
40,11.7226838259732,5.91624555965157,0.49531646101865,11.7226838259732,5.92849563156672,0.494271472337133,11.6517409567491,5.67505037179137,0.512943997565943,11.6517409567491,5.69661616783331,0.511093132864952,13.0252525870919,5.78702839939043,0.55570701138453,NA,NA,NA,11.7226838259733,5.68217186503059,0.515284046777672,11.7226838259732,5.56651010810117,0.525150537987914
41,11.7679233171668,6.14263555172553,0.47801873056355,11.7679233171668,6.16229645577673,0.476348010630958,12.3499462384045,6.14126993048478,0.502729015014871,12.3499462384045,6.07109912661021,0.508410886216573,14.225299875012,6.15688976240352,0.567187348140293,NA,NA,NA,11.767923317167,6.09660624700115,0.481930151761997,11.8090297506278,5.89988067042484,0.500392428928277
42,12.4568919156483,6.27044508671114,0.496628442377812,12.4568919156483,6.25302984646376,0.498026482945662,12.8423946716316,6.47361195770936,0.495918625518546,12.8423946716316,6.4408210360507,0.498471959417487,14.3271656038818,6.49033173541322,0.546991225280823,NA,NA,NA,12.4568919156483,6.47696097071539,0.480049998460768,12.4579208749774,6.2672075759748,0.496929893930941
43,11.2283583498041,6.27095376590423,0.441507514229482,11.2283583498041,6.19000198520974,0.448717097159822,11.586956372397,6.31779893310484,0.454749053154683,11.586956372397,6.25560775357233,0.460116397048431,13.1694237193532,6.39012891757842,0.514775357391853,NA,NA,NA,11.2283583498039,6.2292526958585,0.445221420461053,11.2283583498041,6.11779943981151,0.455147471320396
44,11.6589073567284,6.16261552701067,0.471424264860102,11.6589073567284,6.08237018798726,0.478307014380974,11.7527607002646,6.22830331252902,0.470056144988231,11.7527607002646,6.16179815499793,0.475714828869168,13.3742027248212,6.28204791113502,0.530286175528342,NA,NA,NA,11.6589073567287,6.124566035341,0.474687820397997,11.661410115754,6.02837729164024,0.483049028222051
45,11.8861765610518,5.64285260849374,0.525259230374884,11.8861765610518,5.66580845065331,0.523327924538928,12.1926616397329,5.85479194226892,0.51981018457942,12.1926616397329,5.94421595175818,0.512475936149377,13.7157432534146,6.00846219941856,0.561929522271953,NA,NA,NA,11.8861765610518,5.98893570796865,0.496142794345409,11.8861765610519,5.78085460801473,0.513648936786186
46,12.0748999499952,5.89035994387683,0.512181469969103,12.0748999499952,5.86276029902283,0.51446717378183,12.750044157528,5.96875984009892,0.531863594639022,12.750044157528,5.82134830994964,0.543425243236313,14.5346478138587,5.93722781082408,0.591512096690573,NA,NA,NA,12.074899949995,5.89285587683738,0.511974765733787,12.1114636654256,5.64188885616541,0.534169526324781
