"r","gs_nonparam_delta","gs_nonparam_delta.s","gs_nonparam_R.s","gs_param_delta","gs_param_delta.s","gs_param_R.s","cc_nonparam_delta","cc_nonparam_delta.s","cc_nonparam_R.s","cc_param_delta","cc_param_delta.s","cc_param_R.s","ipw_nonparam_delta","ipw_nonparam_delta.s","ipw_nonparam_R.s","ipw_param_delta","ipw_param_delta.s","ipw_param_R.s","smle_param_delta","smle_param_delta.s","smle_param_R.s","mle_param_delta","mle_param_delta.s","mle_param_R.s"
26,11.493144316772,6.2741913134045,0.454092706010092,11.493144316772,6.20705624429801,0.459934020384655,12.0549059557986,6.2929959631626,0.477972205985103,12.0549059557986,6.26807878051341,0.480039180438538,10.9711710078364,6.36870935869443,0.419505050632659,12.2814941317723,6.27899632100596,0.488743286961952,11.493144316772,6.14537286960623,0.465300991597376,11.493144316772,6.08154546643455,0.470854511279412
27,12.0375740317241,6.26390519056909,0.479637244675627,12.0375740317241,6.26921153014986,0.479196429976022,12.3844240872424,6.24862308403985,0.495445000912333,12.3844240872424,6.27166949056764,0.493584082199809,11.99039849001,6.23213192293301,0.48023979952581,12.645781413316,6.30311845667359,0.501563545133207,12.037574031724,6.22964708965028,0.482483175328137,12.0375740317244,6.16818273554951,0.487589216955712
28,11.694522755244,6.02740016283397,0.484596311539846,11.694522755244,6.01669716276883,0.485511526319374,11.9346481570583,5.98721883906478,0.498333024964472,11.9346481570583,5.9568328664273,0.500879054997163,11.5169270614625,5.97654433694913,0.481064323403798,12.2730227141879,5.99279246228325,0.511710146567605,11.6945227552436,5.9064170573543,0.494941590950687,11.6945227552439,5.86439754456623,0.49853468437294
29,11.803622384254,6.27000973219035,0.468806309785503,11.803622384254,6.27384057852053,0.468481761421833,12.254075653579,6.3004424381314,0.485849229575201,12.254075653579,6.30431296934307,0.485533372931168,11.5558346916006,6.31554464002655,0.453475684918113,12.5420152119596,6.33225126155198,0.495116920643361,11.8036223842539,6.25723823956903,0.469888307515138,11.8036223842541,6.19578741681726,0.475094406181413
30,12.3108191245189,6.22913408703246,0.49401140378822,12.3108191245189,6.20465051401103,0.496000188837678,12.7066025858941,6.22639001627378,0.50998782135629,12.7066025858941,6.18827397140835,0.51298752521952,11.8378147760063,6.26404009972235,0.470844896777848,12.9738156855978,6.22314252107666,0.520330589559327,12.3108191245188,6.14391361719178,0.500933808299135,12.3108191245191,6.078290712396,0.506264315077942
31,10.8113978782204,5.65551604996376,0.476893172033116,10.8113978782204,5.74956155813571,0.468194434901129,11.3634903529618,5.69912364881538,0.498470674784359,11.3634903529618,5.80794695572789,0.488894100727239,11.0614332191248,5.68608886315236,0.485953696007374,11.6752204781318,5.81266529345131,0.502136571695697,10.8113978782204,5.77403888129775,0.465930405453898,10.8113978782202,5.69427955714687,0.473307742320897
32,12.5108487290922,6.03340245880026,0.51774635043181,12.5108487290922,6.1029686955854,0.51218587741423,12.7470089425725,6.04563449534813,0.52572132626683,12.7470089425725,6.11990171937416,0.519895079155793,12.8664451449564,5.99774020549629,0.533846362540366,12.974995114905,6.14441006528602,0.526442205883556,12.5108487290923,6.06717973506095,0.515046511516637,12.5108487290922,6.04128923144282,0.517115955738907
33,11.7799406055655,5.83584798797195,0.504594447172783,11.7799406055655,5.84439422913428,0.503868956149655,12.1801095474709,5.86457042201446,0.518512506052772,12.1801095474709,5.8754955777809,0.517615539098259,11.647340656247,5.86700310870221,0.496279598763563,12.5019400347513,5.87092205622859,0.530399118864004,11.7799406055653,5.83166478910678,0.504949559223441,11.7799406055654,5.75625410024836,0.511351177990757
34,12.1443560389191,6.03553930231964,0.503016933711633,12.1443560389191,6.09420590992419,0.498186162329722,12.5663463663923,6.08560969745169,0.515721633001685,12.5663463663923,6.14560661840116,0.510947220519317,12.0448045154015,6.11721358317379,0.492128446306305,12.71173230902,6.1526364477652,0.515987569735134,12.1443560389192,6.12137348296937,0.495949108923344,12.1443560389191,6.00296658832002,0.505699061433783
35,12.292045905647,6.06699901306157,0.506428867933665,12.292045905647,6.00111431454575,0.511788813627128,12.693197713158,6.07161095358143,0.521664194414347,12.693197713158,6.03685549225686,0.524402311483818,11.70527372703,6.12254822329804,0.476941046738638,12.8774299699362,6.04737117770754,0.530389899861557,12.2920459056468,5.99096116650597,0.512614806966038,12.2920459056473,5.91849166550461,0.518510448876091
