"r","gs_nonparam","gs_param","cc_nonparam","cc_param","ipw_nonparam_Yonly","ipw_param_Yonly","ipw_nonparam_Zonly","ipw_param_Zonly","ipw_nonparam_YZ_main","ipw_param_YZ_main","ipw_nonparam_YZ","ipw_param_YZ"
40,0.476838224841762,0.489396547000084,0.520333791903202,0.535298045049409,0.499935075241437,0.23620203074448,0.459306030199078,0.0360926529007508,0.493100821230208,-0.0753055582182407,0.482847103416595,-0.108885490761083
41,0.514267304481275,0.510345338777958,0.549565758529473,0.546426407463395,0.541675530811186,0.233417869038005,0.496350929673426,-0.0570660542140247,0.532051439627005,-0.174166781260374,0.518608274256949,-0.2278658458033
42,0.507339185085274,0.498706843715787,0.536631720623829,0.532471302210336,0.519706616790175,0.254575591861003,0.48165656920552,0.123546611324215,0.513930327190307,0.0421335279592558,0.504561197914805,0.0162790020716651
43,0.51128301343694,0.517356492547377,0.543431456502392,0.545634144527942,0.536702222478785,0.23012139934257,0.495601296398159,-0.327613492024047,0.524694841771006,-0.494074652487099,0.512680639772182,-0.579346211350749
44,0.517365471160254,0.520789113376939,0.52476373825891,0.529977008492116,0.518863590395426,0.287307391554054,0.480440074805679,0.00414901731501516,0.508691786900323,-0.0725810352168572,0.502113324381835,-0.0966642121230683
45,0.49525361861137,0.50373657059527,0.520180280235426,0.535353367362348,0.511332431827243,0.167647637132304,0.466137249486615,-0.4574142833924,0.499589000308339,-0.69149750656756,0.479698575186973,-0.849391407261294
46,0.522240365116469,0.510519043722019,0.544473071225324,0.541005785149459,0.52803162903413,0.229793967105761,0.487585575006353,0.0599835212909395,0.521244676037991,-0.0564144821169865,0.507246544846382,-0.101078746680041
47,0.492218827740428,0.492859296688726,0.519233545373824,0.520778733676505,0.513604344638506,0.167023066553128,0.468289946306492,-0.464212145320151,0.500539359634946,-0.624889230180348,0.492321675477462,-0.682505946238729
48,0.467919052481205,0.461494556298241,0.515796303720427,0.514052999617979,0.503972422334807,0.108824060747476,0.456693282617303,-0.402894555989507,0.493211080570582,-0.601505182895641,0.477497457398347,-0.692745917787205
49,0.519231899488798,0.519382070493829,0.560937265036763,0.56327198901501,0.542920643414335,0.172409890051673,0.493307308621137,-0.0522307813567409,0.535617972370317,-0.223136729152137,0.517734617033828,-0.282075377908737
50,0.504745939701323,0.501030255831099,0.528329546126712,0.529975052213585,0.507408773055896,0.240118969411316,0.471146494470307,0.0707592867880006,0.50140693933495,-0.0301615377322344,0.49075999024026,-0.0636431247794103
